Calories,Protein,Fat,Carbs,User_Allergy,Milk,Peanut,Egg,Gluten,Risk
744,8,33,112,0,0,1,0,0,Moderate Risk
431,47,13,84,0,0,0,0,0,Safe
718,35,1,26,0,1,0,1,0,Moderate Risk
584,18,51,52,1,1,0,0,0,High Risk
467,41,28,81,1,0,0,0,1,High Risk
939,29,44,83,0,0,1,0,0,Moderate Risk
546,6,49,17,0,1,0,0,0,Moderate Risk
542,7,59,32,1,1,1,0,1,High Risk
729,24,6,55,1,1,0,0,1,High Risk
862,28,58,32,0,0,0,1,0,Moderate Risk
326,10,50,91,0,0,0,1,0,Moderate Risk
114,20,9,111,0,1,0,0,1,Safe
220,42,40,47,0,1,1,0,1,Safe
480,9,39,68,0,1,1,1,0,Safe
917,13,16,72,0,0,0,0,0,Moderate Risk
269,32,35,57,1,0,1,1,0,High Risk
207,46,8,65,1,1,1,0,0,High Risk
661,10,13,118,1,0,0,0,0,Safe
600,5,13,104,0,1,1,0,1,Safe
818,32,27,67,1,0,0,1,0,High Risk
118,25,31,83,0,0,0,0,1,Safe
801,36,22,29,0,0,1,1,1,Moderate Risk
936,45,43,15,1,0,0,0,1,High Risk
225,34,8,98,0,1,0,1,1,Safe
118,49,56,79,1,0,1,0,1,High Risk
719,31,22,89,1,1,0,1,1,High Risk
142,43,59,67,0,1,1,1,0,Moderate Risk
535,13,35,41,0,0,0,0,0,Safe
183,30,28,100,1,0,0,0,0,Safe
792,20,13,72,0,1,0,0,0,Moderate Risk
191,41,1,90,1,0,0,1,0,High Risk
147,46,7,94,1,0,0,0,1,High Risk
514,6,23,62,1,0,0,0,1,High Risk
569,27,11,78,0,1,1,0,0,Safe
797,40,31,106,0,0,1,0,1,Moderate Risk
442,5,30,56,0,0,1,1,0,Safe
201,33,55,19,1,1,1,1,1,High Risk
435,19,45,116,0,0,1,1,1,Moderate Risk
270,45,20,20,0,0,1,1,0,Safe
810,9,4,18,1,0,0,0,1,High Risk
961,22,1,114,0,1,0,0,1,Moderate Risk
957,5,46,73,0,0,1,0,1,Moderate Risk
514,28,46,37,1,0,0,1,0,High Risk
180,13,58,94,1,1,0,0,0,High Risk
501,36,26,25,0,0,1,0,0,Safe
119,8,55,77,0,0,0,1,0,Moderate Risk
701,45,17,120,0,0,0,1,1,Moderate Risk
337,24,27,32,0,0,1,1,0,Safe
848,34,57,72,0,1,1,1,0,Moderate Risk
922,11,50,72,0,0,1,0,0,Moderate Risk
222,17,17,26,0,0,1,0,0,Safe
970,22,37,72,1,1,1,1,0,High Risk
266,29,49,93,1,0,1,1,1,High Risk
993,43,16,52,1,1,0,1,1,High Risk
342,46,27,102,1,0,1,1,0,High Risk
930,7,52,50,1,0,1,0,0,High Risk
872,33,18,68,1,0,0,1,1,High Risk
224,41,22,61,0,0,1,0,0,Safe
413,32,32,89,0,0,0,0,0,Safe
170,49,60,72,1,1,1,1,1,High Risk
862,34,30,23,1,0,1,0,0,High Risk
973,21,54,28,1,0,1,0,0,High Risk
708,20,53,36,1,1,0,1,0,High Risk
935,30,4,85,1,1,0,1,0,High Risk
259,18,48,62,1,0,0,1,1,High Risk
905,18,53,24,1,0,1,1,0,High Risk
850,26,41,73,0,0,0,1,1,Moderate Risk
203,15,29,52,1,1,1,1,1,High Risk
989,47,19,11,1,1,1,0,0,High Risk
876,34,1,36,0,0,0,1,1,Moderate Risk
513,5,53,66,1,1,0,0,0,High Risk
453,41,21,106,0,0,0,1,0,Safe
687,6,7,100,1,0,1,0,1,High Risk
168,32,33,105,0,1,0,0,0,Safe
420,44,12,62,1,1,1,0,0,High Risk
352,30,42,26,1,1,1,0,0,High Risk
799,30,34,96,0,1,1,0,1,Moderate Risk
262,50,16,58,0,0,1,0,0,Safe
446,16,12,13,1,1,0,0,0,High Risk
997,18,49,32,1,0,0,1,1,High Risk
799,38,38,81,0,0,1,1,1,Moderate Risk
166,22,13,48,1,1,0,0,1,High Risk
986,32,6,18,1,1,0,0,0,High Risk
617,29,36,109,0,1,1,1,0,Safe
186,22,34,56,0,1,1,1,1,Safe
941,8,41,29,1,0,0,1,0,High Risk
599,27,33,34,1,0,0,0,0,Safe
351,18,20,24,0,0,1,1,0,Safe
450,23,23,42,1,0,1,0,0,High Risk
124,6,40,37,1,0,1,0,1,High Risk
626,25,43,73,0,0,1,1,0,Moderate Risk
985,33,33,60,0,0,0,0,0,Moderate Risk
269,26,39,74,1,0,1,1,1,High Risk
158,47,60,35,0,0,0,0,0,Moderate Risk
965,5,16,51,0,0,1,0,1,Moderate Risk
375,38,51,108,0,0,1,0,0,Moderate Risk
803,12,14,119,1,1,1,1,0,High Risk
505,49,40,94,0,1,0,0,0,Safe
287,24,25,55,1,0,1,0,1,High Risk
208,20,58,85,1,1,1,1,1,High Risk
172,14,7,54,1,1,0,1,1,High Risk
927,25,4,55,0,0,1,0,1,Moderate Risk
329,25,58,31,1,1,1,1,0,High Risk
501,39,28,110,0,1,1,1,0,Safe
644,30,55,75,0,0,0,0,1,Moderate Risk
312,11,38,30,1,0,1,1,1,High Risk
197,42,53,60,1,1,1,0,0,High Risk
231,49,51,108,1,1,1,1,1,High Risk
471,29,1,13,1,0,0,1,1,High Risk
542,30,4,10,1,1,1,1,1,High Risk
340,13,21,51,0,1,1,1,0,Safe
552,33,42,60,1,0,1,1,0,High Risk
469,42,54,38,0,0,1,1,1,Moderate Risk
798,6,43,65,1,0,1,1,1,High Risk
841,15,1,112,0,0,0,0,0,Moderate Risk
702,45,14,69,0,1,1,0,1,Moderate Risk
971,12,17,61,0,0,1,1,0,Moderate Risk
190,28,4,80,0,1,0,1,0,Safe
708,8,60,92,1,1,0,0,1,High Risk
226,14,11,73,0,0,1,1,1,Safe
895,22,38,70,1,1,0,1,0,High Risk
818,41,13,68,0,1,1,1,0,Moderate Risk
846,15,56,26,0,0,0,1,1,Moderate Risk
703,38,22,12,1,0,1,1,0,High Risk
581,14,53,62,1,0,1,0,1,High Risk
173,22,45,36,0,0,1,0,1,Moderate Risk
628,17,40,62,1,1,0,0,0,High Risk
112,49,15,97,0,1,0,1,0,Safe
243,49,20,24,1,0,0,0,0,Safe
603,16,52,110,0,1,1,1,1,Moderate Risk
212,9,17,76,1,0,1,0,0,High Risk
323,11,59,45,0,1,0,1,1,Moderate Risk
719,22,16,44,0,0,1,1,0,Moderate Risk
422,45,19,119,1,0,1,1,0,High Risk
332,40,11,24,0,0,0,1,1,Safe
654,11,39,108,1,0,0,1,0,High Risk
705,15,40,32,1,1,0,1,1,High Risk
343,49,4,24,0,1,1,1,0,Safe
913,31,9,53,0,1,1,1,0,Moderate Risk
270,13,54,51,0,1,1,1,0,Moderate Risk
668,5,42,105,0,1,0,1,0,Moderate Risk
188,49,13,98,0,0,0,1,0,Safe
143,32,46,37,1,1,0,0,0,High Risk
434,36,28,77,0,1,1,0,1,Safe
773,9,35,65,0,1,0,0,0,Moderate Risk
337,49,1,60,0,0,0,1,1,Safe
305,10,58,54,1,1,0,0,0,High Risk
167,21,45,43,1,1,0,1,1,High Risk
195,34,34,33,1,1,0,0,1,High Risk
780,23,24,17,0,0,0,1,0,Moderate Risk
312,38,3,74,1,1,1,1,0,High Risk
412,35,50,29,0,0,1,1,1,Moderate Risk
503,28,5,116,0,0,0,1,1,Safe
376,45,29,73,0,0,0,0,1,Safe
902,15,48,79,0,0,0,1,0,Moderate Risk
500,44,43,46,0,0,0,1,1,Moderate Risk
873,19,44,57,0,0,1,1,0,Moderate Risk
511,8,50,15,0,0,1,0,1,Moderate Risk
899,39,28,36,1,0,1,0,0,High Risk
507,16,53,60,0,1,0,1,1,Moderate Risk
689,22,2,88,1,0,0,0,1,High Risk
192,39,20,87,0,0,0,0,1,Safe
748,32,54,58,1,0,0,1,1,High Risk
159,16,7,31,0,0,1,0,1,Safe
127,11,20,77,1,1,1,0,0,High Risk
995,45,15,52,0,0,0,1,0,Moderate Risk
561,5,4,85,0,1,0,0,1,Safe
942,32,21,98,1,1,0,1,0,High Risk
735,13,10,100,1,1,1,0,0,High Risk
674,34,30,52,0,1,0,1,0,Safe
545,37,16,106,0,1,0,1,1,Safe
746,14,7,75,0,0,0,1,1,Moderate Risk
254,42,21,17,1,0,1,0,1,High Risk
559,49,41,110,0,1,1,0,1,Moderate Risk
597,31,22,30,0,1,0,0,1,Safe
255,26,40,96,1,1,0,1,0,High Risk
445,14,34,25,1,1,1,1,0,High Risk
604,20,15,17,1,1,0,1,1,High Risk
106,41,49,78,1,0,1,1,1,High Risk
871,16,24,45,0,1,1,0,0,Moderate Risk
710,35,59,85,0,1,1,0,0,Moderate Risk
883,5,7,47,0,0,1,0,0,Moderate Risk
265,24,48,93,1,0,1,0,1,High Risk
779,41,42,96,1,0,1,1,1,High Risk
784,33,41,59,0,1,1,0,0,Moderate Risk
663,48,23,38,1,1,0,0,0,High Risk
709,13,49,48,1,0,0,1,0,High Risk
240,41,44,18,0,0,1,0,1,Moderate Risk
804,28,19,65,1,1,1,1,0,High Risk
555,12,30,20,1,0,1,1,1,High Risk
506,20,24,86,0,1,0,0,0,Safe
157,13,37,86,0,1,0,0,0,Safe
516,8,43,27,1,0,1,1,0,High Risk
969,16,30,103,1,1,1,1,1,High Risk
463,15,29,77,1,1,1,1,0,High Risk
135,49,37,119,0,1,0,0,0,Safe
833,32,10,10,1,1,0,1,0,High Risk
786,50,1,95,1,0,0,1,1,High Risk
731,41,29,84,0,1,0,0,0,Moderate Risk
262,38,18,106,0,1,0,0,1,Safe
577,32,21,94,0,0,1,0,0,Safe
933,46,32,109,1,1,1,1,1,High Risk
978,19,12,72,1,0,0,1,1,High Risk
205,11,27,110,1,1,1,1,1,High Risk
566,16,33,98,0,1,0,1,1,Safe
189,21,2,109,1,1,0,1,1,High Risk
401,28,11,96,0,1,0,0,0,Safe
814,42,8,68,0,1,0,1,0,Moderate Risk
952,27,52,61,1,0,0,1,1,High Risk
593,20,31,95,0,1,0,0,1,Safe
861,30,43,109,1,0,0,1,1,High Risk
856,48,9,97,0,0,1,0,0,Moderate Risk
913,11,52,74,1,1,1,1,1,High Risk
721,33,7,105,0,1,0,1,1,Moderate Risk
427,15,59,62,1,1,0,0,1,High Risk
741,29,46,28,0,0,1,0,1,Moderate Risk
235,50,5,106,1,0,0,1,0,High Risk
275,37,60,101,0,0,1,1,0,Moderate Risk
611,29,52,77,1,1,0,0,1,High Risk
747,36,38,93,1,0,1,1,1,High Risk
795,13,6,82,0,1,0,1,1,Moderate Risk
236,42,8,40,0,1,1,0,0,Safe
314,46,49,99,1,0,1,0,1,High Risk
560,43,51,78,0,1,0,0,0,Moderate Risk
562,29,54,15,0,0,0,0,0,Moderate Risk
249,46,56,33,1,0,0,0,0,Moderate Risk
287,39,38,33,0,1,0,0,0,Safe
925,9,41,31,0,0,0,0,0,Moderate Risk
566,47,19,55,1,0,1,1,0,High Risk
368,35,8,41,0,1,1,0,1,Safe
656,47,40,55,1,1,0,0,0,High Risk
107,28,60,42,0,0,0,1,0,Moderate Risk
288,24,44,23,0,1,0,1,0,Moderate Risk
753,45,51,31,1,1,0,0,1,High Risk
116,28,38,37,0,0,0,0,0,Safe
691,10,16,115,1,1,1,1,0,High Risk
100,9,4,88,1,1,1,1,0,High Risk
303,31,34,17,0,1,1,0,1,Safe
211,17,14,73,1,1,1,1,0,High Risk
922,27,12,114,1,1,0,0,0,High Risk
952,45,49,111,1,0,0,0,1,High Risk
327,7,37,42,0,1,1,0,1,Safe
915,48,53,73,0,0,0,1,1,Moderate Risk
380,38,28,59,1,1,0,1,0,High Risk
530,11,58,23,0,1,1,1,0,Moderate Risk
273,39,53,73,1,0,0,1,1,High Risk
418,8,13,13,0,0,1,0,1,Safe
437,15,52,39,0,0,0,1,0,Moderate Risk
827,19,40,32,0,1,0,0,1,Moderate Risk
800,50,52,89,1,0,1,1,0,High Risk
379,47,31,104,1,1,1,1,0,High Risk
880,11,5,16,0,1,0,0,0,Moderate Risk
588,18,2,24,1,0,0,1,0,High Risk
532,34,49,66,0,0,1,1,0,Moderate Risk
980,9,52,99,1,1,1,1,0,High Risk
848,7,31,86,1,0,1,1,0,High Risk
543,34,35,80,0,0,1,0,0,Safe
662,21,1,85,1,1,0,1,1,High Risk
987,39,39,55,1,1,0,1,0,High Risk
756,18,39,72,0,1,1,1,0,Moderate Risk
829,25,19,16,0,1,0,1,1,Moderate Risk
941,45,36,52,0,0,1,1,0,Moderate Risk
138,19,40,110,1,1,1,0,0,High Risk
599,22,4,29,1,1,1,0,1,High Risk
149,42,13,60,0,1,0,0,1,Safe
470,40,29,67,0,0,0,0,1,Safe
894,47,8,45,1,1,0,0,0,High Risk
383,42,11,69,1,1,0,1,0,High Risk
771,35,60,83,0,0,0,0,1,Moderate Risk
154,8,25,34,1,1,1,0,0,High Risk
648,42,39,38,0,1,0,0,0,Safe
711,31,50,74,1,1,1,0,0,High Risk
487,21,6,67,0,0,0,1,0,Safe
223,34,31,53,0,1,0,0,0,Safe
729,30,7,87,0,0,0,1,1,Moderate Risk
536,18,35,10,1,0,1,0,1,High Risk
356,39,22,62,1,1,1,0,0,High Risk
932,24,58,57,1,1,0,1,0,High Risk
573,36,14,73,0,1,1,1,0,Safe
732,22,60,114,1,1,0,1,1,High Risk
597,11,4,13,1,0,0,0,0,Safe
127,46,44,105,0,1,0,0,1,Moderate Risk
477,26,55,80,1,1,0,0,1,High Risk
246,11,3,40,1,0,1,1,1,High Risk
240,11,58,32,1,0,0,1,1,High Risk
207,38,47,92,1,0,1,0,1,High Risk
142,12,58,48,0,1,0,0,1,Moderate Risk
276,29,6,34,1,0,1,0,1,High Risk
775,23,33,114,1,1,0,0,0,High Risk
167,46,14,50,0,0,0,0,0,Safe
553,6,17,74,0,1,0,0,1,Safe
483,47,34,18,0,0,1,1,1,Safe
579,45,50,67,0,0,1,0,1,Moderate Risk
332,26,37,47,1,1,1,1,0,High Risk
742,41,30,34,1,1,1,1,0,High Risk
754,49,38,18,0,0,1,1,1,Moderate Risk
970,24,44,30,0,0,0,1,1,Moderate Risk
239,8,49,70,0,1,0,1,1,Moderate Risk
437,7,44,27,1,0,0,1,1,High Risk
946,34,44,19,0,0,0,0,0,Moderate Risk
866,21,36,44,0,1,1,1,0,Moderate Risk
982,6,39,19,0,1,0,0,0,Moderate Risk
996,16,15,82,1,0,0,0,1,High Risk
414,27,53,66,1,0,1,1,1,High Risk
180,16,20,70,0,1,1,0,0,Safe
505,8,2,109,0,0,1,1,1,Safe
505,13,33,84,0,0,0,0,1,Safe
801,48,42,53,0,0,0,1,1,Moderate Risk
729,5,7,21,1,1,0,1,0,High Risk
438,31,4,38,0,0,0,1,1,Safe
563,49,58,36,0,1,1,0,1,Moderate Risk
606,17,18,93,0,0,0,0,1,Safe
295,29,43,17,1,1,1,0,0,High Risk
842,46,19,120,0,1,0,0,1,Moderate Risk
901,15,16,24,0,1,0,0,0,Moderate Risk
705,32,1,119,0,0,1,1,0,Moderate Risk
183,27,48,46,1,1,0,1,0,High Risk
407,41,7,95,1,0,1,0,0,High Risk
811,17,49,91,0,1,1,1,1,Moderate Risk
498,5,51,17,0,1,0,0,1,Moderate Risk
921,23,13,41,0,0,1,0,1,Moderate Risk
200,14,21,66,1,0,1,1,1,High Risk
566,32,23,110,0,1,0,1,1,Safe
835,26,44,103,0,0,0,1,0,Moderate Risk
158,8,33,46,1,1,1,0,1,High Risk
506,35,33,48,0,0,1,0,0,Safe
204,12,50,115,1,1,0,1,0,High Risk
333,11,54,90,1,1,0,1,0,High Risk
394,30,23,79,0,0,0,0,0,Safe
942,48,3,59,1,1,1,0,0,High Risk
974,32,13,23,0,1,0,0,1,Moderate Risk
648,22,17,98,1,0,1,1,1,High Risk
283,48,8,45,0,1,0,0,0,Safe
411,13,27,83,0,1,0,1,1,Safe
293,26,15,75,0,0,1,0,1,Safe
360,41,23,119,1,1,1,0,1,High Risk
641,16,27,40,0,1,0,1,1,Safe
486,8,57,44,1,1,1,0,0,High Risk
786,39,42,17,0,0,1,1,1,Moderate Risk
199,16,60,85,0,1,0,0,0,Moderate Risk
372,12,36,47,1,1,1,0,0,High Risk
214,48,2,38,0,0,0,1,1,Safe
862,15,44,74,1,1,0,0,0,High Risk
808,19,24,72,0,1,1,1,1,Moderate Risk
436,24,3,99,0,1,0,1,1,Safe
118,44,52,69,0,0,1,0,1,Moderate Risk
461,42,58,41,0,1,0,0,0,Moderate Risk
530,24,51,47,0,1,0,0,0,Moderate Risk
706,20,41,46,0,0,1,1,0,Moderate Risk
160,33,49,96,1,1,0,0,1,High Risk
920,46,21,58,1,1,0,1,0,High Risk
984,41,39,113,1,1,0,1,1,High Risk
622,26,24,50,0,1,0,0,1,Safe
422,8,58,63,0,1,0,1,1,Moderate Risk
848,27,8,80,0,0,0,1,1,Moderate Risk
699,18,41,25,1,1,1,0,1,High Risk
800,6,35,47,1,0,0,0,1,High Risk
908,33,11,78,1,1,0,0,0,High Risk
722,20,31,41,1,0,1,1,0,High Risk
674,31,48,61,0,0,1,1,1,Moderate Risk
869,30,42,116,0,1,1,0,1,Moderate Risk
426,38,25,52,1,0,1,1,0,High Risk
528,32,14,115,1,0,0,0,1,High Risk
272,35,1,50,1,1,1,1,1,High Risk
510,26,53,96,0,0,0,0,1,Moderate Risk
321,17,6,82,1,1,0,0,0,High Risk
903,14,14,35,0,1,0,0,0,Moderate Risk
382,20,25,25,1,1,1,1,1,High Risk
931,31,1,41,1,1,0,1,0,High Risk
152,48,54,76,0,0,0,1,1,Moderate Risk
856,49,20,39,1,1,1,1,0,High Risk
849,23,33,119,1,0,0,1,1,High Risk
599,12,20,50,0,0,1,0,1,Safe
668,30,42,61,1,1,0,0,0,High Risk
468,42,26,43,0,0,0,1,0,Safe
315,48,15,116,1,0,1,1,1,High Risk
812,7,32,69,0,1,0,0,1,Moderate Risk
229,32,58,95,0,0,0,1,0,Moderate Risk
395,37,10,29,1,0,1,1,0,High Risk
754,33,2,47,0,0,0,0,1,Moderate Risk
715,26,26,44,1,1,1,1,0,High Risk
456,25,29,20,1,0,0,1,1,High Risk
321,21,21,89,1,1,1,0,0,High Risk
917,43,14,97,1,1,1,0,1,High Risk
757,34,50,33,1,1,0,1,1,High Risk
258,48,57,105,1,0,1,0,0,High Risk
498,13,39,20,0,0,0,0,0,Safe
981,35,27,87,0,1,0,1,0,Moderate Risk
163,36,38,16,0,1,0,1,0,Safe
956,7,27,89,0,0,0,0,1,Moderate Risk
781,48,41,30,1,0,0,1,1,High Risk
858,48,12,55,0,1,1,0,1,Moderate Risk
884,25,55,22,0,0,0,1,0,Moderate Risk
185,23,32,110,0,0,1,0,0,Safe
456,24,60,38,0,1,0,1,0,Moderate Risk
511,18,20,11,1,1,1,1,1,High Risk
916,13,6,71,0,0,0,1,0,Moderate Risk
207,39,31,38,0,0,1,0,0,Safe
701,38,6,108,1,0,0,0,1,High Risk
526,35,6,54,1,1,1,1,0,High Risk
946,5,33,102,0,1,0,0,0,Moderate Risk
785,40,15,116,0,1,1,1,1,Moderate Risk
388,37,17,113,1,0,0,0,1,High Risk
964,32,15,66,0,0,1,1,0,Moderate Risk
407,23,56,69,0,1,1,1,0,Moderate Risk
667,34,20,65,0,1,0,1,0,Safe
850,10,49,28,0,0,0,1,0,Moderate Risk
312,14,10,92,0,0,0,0,0,Safe
748,10,27,97,0,0,1,1,0,Moderate Risk
167,26,36,65,1,0,0,0,0,Safe
954,25,58,68,1,0,0,0,0,Moderate Risk
320,40,23,93,0,0,0,1,1,Safe
129,23,27,116,1,1,0,0,1,High Risk
814,16,10,57,0,0,1,0,1,Moderate Risk
501,34,10,40,0,0,1,1,1,Safe
551,48,42,41,1,1,0,0,1,High Risk
766,7,48,19,1,1,1,1,1,High Risk
897,15,19,79,1,1,1,0,1,High Risk
564,40,9,59,1,0,1,0,1,High Risk
243,20,17,45,1,0,0,0,1,High Risk
139,16,32,11,0,0,1,1,0,Safe
603,30,10,88,0,1,1,0,1,Safe
642,50,53,107,0,1,0,1,1,Moderate Risk
642,20,51,104,1,0,0,0,1,High Risk
107,22,19,52,1,0,1,0,1,High Risk
657,26,60,88,1,0,0,1,0,High Risk
757,39,19,105,0,0,1,1,0,Moderate Risk
130,25,15,96,1,1,0,1,0,High Risk
463,19,18,66,0,1,0,1,0,Safe
512,18,39,61,1,1,1,1,1,High Risk
295,38,46,102,1,0,0,1,1,High Risk
831,50,2,97,0,0,0,1,1,Moderate Risk
463,20,44,38,1,0,0,1,1,High Risk
526,14,20,52,1,0,0,1,1,High Risk
341,18,25,79,1,0,1,1,0,High Risk
110,12,51,97,0,0,1,1,0,Moderate Risk
690,15,31,101,0,0,0,1,1,Safe
365,21,22,100,1,0,0,0,1,High Risk
847,24,29,13,1,0,0,1,1,High Risk
202,36,8,36,1,0,0,1,0,High Risk
294,46,57,30,0,1,1,1,1,Moderate Risk
372,12,11,40,0,1,1,1,1,Safe
140,21,53,96,0,1,1,1,0,Moderate Risk
370,45,17,98,0,1,0,0,1,Safe
906,36,1,84,0,1,1,1,0,Moderate Risk
446,13,31,75,1,1,1,1,1,High Risk
760,9,45,97,0,0,0,0,0,Moderate Risk
418,11,10,41,1,1,1,0,1,High Risk
196,35,60,110,1,0,1,1,1,High Risk
199,5,44,31,1,0,0,0,1,High Risk
339,49,52,59,1,1,0,1,1,High Risk
742,32,32,49,1,0,1,1,1,High Risk
461,35,25,60,0,0,1,0,1,Safe
184,11,27,77,1,0,0,1,1,High Risk
104,46,22,44,0,1,0,0,0,Safe
370,31,16,109,0,0,0,0,1,Safe
882,48,28,16,0,0,1,0,0,Moderate Risk
347,18,36,84,1,1,1,1,1,High Risk
191,24,56,69,0,0,1,1,0,Moderate Risk
234,34,10,30,1,1,1,0,0,High Risk
177,23,41,112,1,0,1,0,1,High Risk
105,42,2,54,0,1,0,0,0,Safe
344,33,58,100,0,0,1,1,1,Moderate Risk
625,22,53,86,1,0,0,1,0,High Risk
814,14,41,77,0,1,0,1,1,Moderate Risk
110,18,52,19,0,0,1,0,0,Moderate Risk
555,13,35,64,0,1,1,1,1,Safe
491,18,31,65,0,1,1,0,1,Safe
180,29,49,17,0,0,1,1,0,Moderate Risk
671,26,34,27,0,0,0,1,1,Safe
578,6,15,101,0,1,1,0,0,Safe
443,48,22,41,1,0,0,1,1,High Risk
530,23,55,113,1,0,0,1,0,High Risk
176,33,26,57,0,0,1,1,1,Safe
351,47,17,67,1,0,0,1,1,High Risk
675,38,28,113,1,1,0,1,1,High Risk
817,15,44,26,1,0,0,1,0,High Risk
102,30,45,52,0,0,0,0,0,Moderate Risk
553,50,22,32,0,1,0,1,0,Safe
687,25,29,62,1,1,0,1,1,High Risk
474,25,48,90,0,1,0,0,0,Moderate Risk
841,40,39,44,0,0,0,1,0,Moderate Risk
387,29,12,68,1,0,1,0,1,High Risk
244,6,56,94,0,0,0,0,1,Moderate Risk
989,7,44,62,1,0,1,0,1,High Risk
473,42,16,103,1,1,0,1,1,High Risk
391,44,54,10,0,0,0,1,0,Moderate Risk
542,7,32,65,0,1,1,0,0,Safe
439,24,14,70,0,0,1,0,1,Safe
166,48,27,47,1,1,1,0,1,High Risk
484,50,10,83,1,1,1,1,1,High Risk
735,17,17,20,0,0,0,1,1,Moderate Risk
331,21,21,70,0,0,0,1,1,Safe
635,43,10,109,1,0,1,0,0,High Risk
216,44,31,24,0,0,0,0,0,Safe
684,17,45,73,0,1,0,0,0,Moderate Risk
